model,variant,auc_mean,auc_ci_lo,auc_ci_hi,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,csi_mean,csi_ci_lo,csi_ci_hi,opt_threshold
Logistic Regression,Baseline,0.7351209493984833,0.628374333513717,0.8258567916160027,0.1781026709938823,0.043432971014492755,0.34217332123411975,0.7154950742884566,0.2857142857142857,1.0,0.1663463451171763,0.04,0.32,0.8712121212121212
Logistic Regression,Quantum,0.7549886722306115,0.6733808095122993,0.831332962388874,0.356740644108393,0.18181818181818182,0.5454545454545454,0.19269517504564923,0.08471045197740112,0.30772727272727274,0.14291617389260702,0.06408730158730158,0.23611742424242424,0.7078787878787879
Gradient Boosting,Baseline,0.6831292363412275,0.5730834859661448,0.7835607027621175,0.18266407504803311,0.05555555555555555,0.3333333333333333,0.32227715837580456,0.10526315789473684,0.5882352941176471,0.13171961400966165,0.034482758620689655,0.25,0.792020202020202
Gradient Boosting,Quantum,0.6593940177063625,0.5507442035997167,0.7588801559428361,0.3217669289733168,0.15384615384615385,0.5,0.1530991894671987,0.06449897048730273,0.2542539049518112,0.11573158186598123,0.0493676603432701,0.1940641619488763,0.2822222222222222
Neural Network,Baseline,0.7539258483440108,0.6476877479191052,0.8444046960348592,0.1781026709938823,0.043432971014492755,0.34217332123411975,0.832230434842935,0.5,1.0,0.17179119794994271,0.041625,0.32284946236559114,0.6237373737373737
Neural Network,Quantum,0.7374204966516151,0.6513930253039789,0.8208613926119648,0.17719026482418412,0.049940476190476195,0.34615384615384615,0.33428688983284555,0.10526315789473684,0.6,0.13050518592950408,0.03225806451612903,0.24391598915989157,0.6979797979797979
SVM,LUQPI-offline,0.7110821198376223,0.6038892035045225,0.8114182965583894,0.3926931470595858,0.20827205882352942,0.5790570175438595,0.24602225886232884,0.11764705882352944,0.3809873949579831,0.1780535359666801,0.08471045197740112,0.2800175438596491,0.12383838383838383
SVM+ (LUQPI),LUQPI-offline,0.6848840143149508,0.6000257368646887,0.7654762587811246,0.2868806034429605,0.13621541501976284,0.4546401515151514,0.1613108307349075,0.06972780126849897,0.27502155172413795,0.11512400547790003,0.046856971153846155,0.19696969696969696,0.9157575757575758
