auc_roc,avg_precision,ri_recall,ri_precision,ri_f1,tn,fp,fn,tp,method,train_size,seed,n_pos_train
0.5725,0.0821,0.5357,0.0708,0.125,277,197,13,15,SVM+ (LUQPI),200,9,11
0.8691,0.3899,0.0714,0.6667,0.129,473,1,26,2,SVM,400,0,23
0.7822,0.1821,0.8571,0.1039,0.1853,267,207,4,24,SVM+ (LUQPI),400,0,23
0.7432,0.1415,0.0357,0.0909,0.0513,464,10,27,1,SVM,400,1,23
0.6441,0.085,0.6786,0.0819,0.1462,261,213,9,19,SVM+ (LUQPI),400,1,23
0.754,0.1471,0.0,0.0,0.0,473,1,28,0,SVM,400,2,23
0.7242,0.1593,0.75,0.083,0.1495,242,232,7,21,SVM+ (LUQPI),400,2,23
0.7416,0.2561,0.1071,0.75,0.1875,473,1,25,3,SVM,400,3,23
0.732,0.1565,0.7857,0.0952,0.1699,265,209,6,22,SVM+ (LUQPI),400,3,23
0.7473,0.2553,0.0357,1.0,0.069,474,0,27,1,SVM,400,4,23
0.755,0.222,0.75,0.0871,0.1561,254,220,7,21,SVM+ (LUQPI),400,4,23
0.7313,0.1635,0.0,0.0,0.0,472,2,28,0,SVM,400,5,23
0.741,0.1528,0.8571,0.0873,0.1584,223,251,4,24,SVM+ (LUQPI),400,5,23
0.7051,0.2282,0.0357,0.5,0.0667,473,1,27,1,SVM,400,6,23
0.7294,0.1187,0.8571,0.0909,0.1644,234,240,4,24,SVM+ (LUQPI),400,6,23
0.5902,0.2463,0.1786,0.5,0.2632,469,5,23,5,SVM,400,7,23
0.7092,0.116,0.7857,0.0846,0.1528,236,238,6,22,SVM+ (LUQPI),400,7,23
0.7795,0.2526,0.1429,0.6667,0.2353,472,2,24,4,SVM,400,8,23
0.7813,0.1957,0.8929,0.0896,0.1629,220,254,3,25,SVM+ (LUQPI),400,8,23
0.777,0.2084,0.25,0.3684,0.2979,462,12,21,7,SVM,400,9,23
0.7712,0.1857,0.8571,0.086,0.1564,219,255,4,24,SVM+ (LUQPI),400,9,23
