model,variant,threshold,pod,far,csi,pss,pofd,bias,tp,fp,fn,tn
Logistic Regression,Baseline,0.8712121212121212,0.17857142857142858,0.2857142857142857,0.16666666666666666,0.17435201928872815,0.004219409282700422,0.25,5,2,23,472
Logistic Regression,Quantum,0.7078787878787879,0.35714285714285715,0.8076923076923077,0.14285714285714285,0.2685352622061483,0.08860759493670886,1.8571428571428572,10,42,18,432
Gradient Boosting,Baseline,0.792020202020202,0.17857142857142858,0.6875,0.1282051282051282,0.15536467751657626,0.023206751054852322,0.5714285714285714,5,11,23,463
Gradient Boosting,Quantum,0.2822222222222222,0.32142857142857145,0.847457627118644,0.11538461538461539,0.21594333936106092,0.10548523206751055,2.107142857142857,9,50,19,424
Neural Network,Baseline,0.6237373737373737,0.17857142857142858,0.16666666666666666,0.1724137931034483,0.17646172393007836,0.002109704641350211,0.21428571428571427,5,1,23,473
Neural Network,Quantum,0.6979797979797979,0.17857142857142858,0.6666666666666666,0.13157894736842105,0.15747438215792647,0.02109704641350211,0.5357142857142857,5,10,23,464
